actor1,actor2,weight
"Ryôko Hirosue","Tsutomu Yamazaki",1
"Cary-Hiroyuki Tagawa","Joan Allen",1
"Cary-Hiroyuki Tagawa","Richard Gere",1
"Cary-Hiroyuki Tagawa","Sarah Roemer",1
"Joan Allen","Richard Gere",1
"Joan Allen","Sarah Roemer",1
"Richard Gere","Sarah Roemer",1
"Barry Humphries","Eric Bana",1
"Barry Humphries","Philip Seymour Hoffman",1
"Barry Humphries","Toni Collette",1
"Eric Bana","Philip Seymour Hoffman",1
"Eric Bana","Toni Collette",1
"Philip Seymour Hoffman","Toni Collette",1
"Chris Sanders","Christopher Mintz-Plasse",1
"Chris Sanders","Gerard Butler",1
"Chris Sanders","Jay Baruchel",1
"Christopher Mintz-Plasse","Gerard Butler",1
"Christopher Mintz-Plasse","Jay Baruchel",1
"Gerard Butler","Jay Baruchel",2
"Catherine Keener","Emile Hirsch",1
"Catherine Keener","Marcia Gay Harden",1
"Catherine Keener","Vince Vaughn",1
"Emile Hirsch","Marcia Gay Harden",1
"Emile Hirsch","Vince Vaughn",1
"Marcia Gay Harden","Vince Vaughn",1
"Javier Bardem","Joel Coen",1
"Javier Bardem","Josh Brolin",1
"Javier Bardem","Tommy Lee Jones",1
"Joel Coen","Josh Brolin",1
"Joel Coen","Tommy Lee Jones",1
"Josh Brolin","Tommy Lee Jones",1
"Arshad Warsi","Boman Irani",1
"Arshad Warsi","Sanjay Dutt",2
"Arshad Warsi","Vidya Balan",1
"Boman Irani","Vidya Balan",1
"Sanjay Dutt","Vidya Balan",1
"Clint Eastwood","Hilary Swank",1
"Clint Eastwood","Jay Baruchel",1
"Hilary Swank","Jay Baruchel",1
"Hilary Swank","Morgan Freeman",1
"Jay Baruchel","Morgan Freeman",1
"Don Cheadle","Joaquin Phoenix",1
"Don Cheadle","Sophie Okonedo",1
"Don Cheadle","Xolani Mali",1
"Joaquin Phoenix","Sophie Okonedo",1
"Joaquin Phoenix","Xolani Mali",1
"Sophie Okonedo","Xolani Mali",1
"Eun-ju Lee","Hyeong-jin Kong",1
"Eun-ju Lee","Jang Dong-Gun",1
"Eun-ju Lee","Won Bin",1
"Hyeong-jin Kong","Jang Dong-Gun",1
"Hyeong-jin Kong","Won Bin",1
"Jang Dong-Gun","Won Bin",1
"Ethan Hawke","Julie Delpy",3
"Ethan Hawke","Louise Lemoine Torrès",1
"Ethan Hawke","Vernon Dobtcheff",1
"Julie Delpy","Louise Lemoine Torrès",1
"Julie Delpy","Vernon Dobtcheff",1
"Louise Lemoine Torrès","Vernon Dobtcheff",1
"Arshad Warsi","Gracy Singh",1
"Arshad Warsi","Sunil Dutt",1
"Gracy Singh","Sanjay Dutt",1
"Gracy Singh","Sunil Dutt",1
"Sanjay Dutt","Sunil Dutt",1
"Jae-ho Song","Kang-ho Song",1
"Jae-ho Song","Kim Sang-kyung",1
"Jae-ho Song","Roe-ha Kim",1
"Kang-ho Song","Kim Sang-kyung",1
"Kang-ho Song","Roe-ha Kim",1
"Kim Sang-kyung","Roe-ha Kim",1
"Aamir Khan","Akshaye Khanna",1
"Aamir Khan","Preity Zinta",1
"Aamir Khan","Saif Ali Khan",1
"Akshaye Khanna","Preity Zinta",1
"Akshaye Khanna","Saif Ali Khan",1
"Preity Zinta","Saif Ali Khan",2
"Daryl Hannah","David Carradine",2
"Daryl Hannah","Michael Madsen",2
"Daryl Hannah","Uma Thurman",2
"David Carradine","Michael Madsen",2
"David Carradine","Uma Thurman",2
"Michael Madsen","Uma Thurman",2
"Albert Brooks","Alexander Gould",1
"Albert Brooks","Ellen DeGeneres",1
"Albert Brooks","Lee Unkrich",1
"Alexander Gould","Ellen DeGeneres",1
"Alexander Gould","Lee Unkrich",1
"Ellen DeGeneres","Lee Unkrich",1
"Christopher Walken","Leonardo DiCaprio",1
"Christopher Walken","Martin Sheen",1
"Christopher Walken","Tom Hanks",1
"Leonardo DiCaprio","Martin Sheen",1
"Leonardo DiCaprio","Tom Hanks",1
"Martin Sheen","Tom Hanks",1
"Emilio Echevarría","Gael García Bernal",1
"Emilio Echevarría","Goya Toledo",1
"Emilio Echevarría","Álvaro Guerrero",1
"Gael García Bernal","Goya Toledo",1
"Gael García Bernal","Álvaro Guerrero",1
"Goya Toledo","Álvaro Guerrero",1
"Billy Crystal","David Silverman",1
"Billy Crystal","John Goodman",1
"Billy Crystal","Lee Unkrich",1
"David Silverman","John Goodman",1
"David Silverman","Lee Unkrich",1
"John Goodman","Lee Unkrich",1
"Kazuya Tsurumaki","Megumi Hayashibara",1
"Kazuya Tsurumaki","Megumi Ogata",1
"Kazuya Tsurumaki","Yûko Miyamura",1
"Megumi Hayashibara","Megumi Ogata",1
"Megumi Hayashibara","Yûko Miyamura",1
"Megumi Ogata","Yûko Miyamura",1
"Aamir Khan","Gracy Singh",1
"Aamir Khan","Rachel Shelley",1
"Aamir Khan","Raghuvir Yadav",1
"Gracy Singh","Rachel Shelley",1
"Gracy Singh","Raghuvir Yadav",1
"Rachel Shelley","Raghuvir Yadav",1
"Bruce Willis","Haley Joel Osment",1
"Bruce Willis","Olivia Williams",1
"Bruce Willis","Toni Collette",1
"Haley Joel Osment","Olivia Williams",1
"Haley Joel Osment","Toni Collette",1
"Olivia Williams","Toni Collette",1
"Bill Nunn","Mélanie Thierry",1
"Bill Nunn","Pruitt Taylor Vince",1
"Bill Nunn","Tim Roth",1
"Mélanie Thierry","Pruitt Taylor Vince",1
"Mélanie Thierry","Tim Roth",1
"Pruitt Taylor Vince","Tim Roth",1
"Ed Harris","Jim Carrey",1
"Ed Harris","Laura Linney",1
"Ed Harris","Noah Emmerich",1
"Jim Carrey","Laura Linney",1
"Jim Carrey","Noah Emmerich",1
"Laura Linney","Noah Emmerich",1
"Bajram Severdzan","Branka Katic",1
"Bajram Severdzan","Florijan Ajdini",1
"Bajram Severdzan","Srdjan 'Zika' Todorovic",1
"Branka Katic","Florijan Ajdini",1
"Branka Katic","Srdjan 'Zika' Todorovic",1
"Florijan Ajdini","Srdjan 'Zika' Todorovic",1
"Ethan Coen","Jeff Bridges",1
"Ethan Coen","John Goodman",2
"Ethan Coen","Julianne Moore",1
"Jeff Bridges","John Goodman",1
"Jeff Bridges","Julianne Moore",1
"John Goodman","Julianne Moore",1
"Maggie Cheung","Ping Lam Siu",1
"Maggie Cheung","Tony Chiu-Wai Leung",2
"Maggie Cheung","Tung Cho 'Joe' Cheung",1
"Ping Lam Siu","Tony Chiu-Wai Leung",1
"Ping Lam Siu","Tung Cho 'Joe' Cheung",1
"Tony Chiu-Wai Leung","Tung Cho 'Joe' Cheung",1
"Ewan McGregor","Ewen Bremner",1
"Ewan McGregor","Jonny Lee Miller",1
"Ewan McGregor","Kevin McKidd",1
"Ewen Bremner","Jonny Lee Miller",1
"Ewen Bremner","Kevin McKidd",1
"Jonny Lee Miller","Kevin McKidd",1
"Ethan Coen","Frances McDormand",2
"Ethan Coen","Steve Buscemi",1
"Ethan Coen","William H. Macy",1
"Frances McDormand","Steve Buscemi",1
"Frances McDormand","William H. Macy",1
"Steve Buscemi","William H. Macy",1
"Lazar Ristovski","Mirjana Jokovic",1
"Lazar Ristovski","Predrag 'Miki' Manojlovic",1
"Lazar Ristovski","Slavko Stimac",1
"Mirjana Jokovic","Predrag 'Miki' Manojlovic",1
"Mirjana Jokovic","Slavko Stimac",1
"Predrag 'Miki' Manojlovic","Slavko Stimac",1
"Abdel Ahmed Ghili","Hubert Koundé",1
"Abdel Ahmed Ghili","Saïd Taghmaoui",1
"Abdel Ahmed Ghili","Vincent Cassel",1
"Hubert Koundé","Saïd Taghmaoui",1
"Hubert Koundé","Vincent Cassel",1
"Saïd Taghmaoui","Vincent Cassel",1
"Amrish Puri","Farida Jalal",1
"Amrish Puri","Kajol",1
"Amrish Puri","Shah Rukh Khan",1
"Farida Jalal","Kajol",1
"Farida Jalal","Shah Rukh Khan",1
"Kajol","Shah Rukh Khan",2
"Andrea Eckert","Ethan Hawke",1
"Andrea Eckert","Hanno Pöschl",1
"Andrea Eckert","Julie Delpy",1
"Ethan Hawke","Hanno Pöschl",1
"Hanno Pöschl","Julie Delpy",1
"Frédérique Feder","Irène Jacob",1
"Frédérique Feder","Jean-Louis Trintignant",1
"Frédérique Feder","Jean-Pierre Lorit",1
"Irène Jacob","Jean-Louis Trintignant",1
"Irène Jacob","Jean-Pierre Lorit",1
"Jean-Louis Trintignant","Jean-Pierre Lorit",1
"Brigitte Lin","Faye Wong",1
"Brigitte Lin","Takeshi Kaneshiro",1
"Brigitte Lin","Tony Chiu-Wai Leung",1
"Faye Wong","Takeshi Kaneshiro",1
"Faye Wong","Tony Chiu-Wai Leung",1
"Takeshi Kaneshiro","Tony Chiu-Wai Leung",1
"Jeff Goldblum","Laura Dern",1
"Jeff Goldblum","Richard Attenborough",1
"Jeff Goldblum","Sam Neill",1
"Laura Dern","Richard Attenborough",1
"Laura Dern","Sam Neill",1
"Richard Attenborough","Sam Neill",1
"Alison Crosbie","Daniel Day-Lewis",1
"Alison Crosbie","Pete Postlethwaite",1
"Alison Crosbie","Philip King",1
"Daniel Day-Lewis","Pete Postlethwaite",1
"Daniel Day-Lewis","Philip King",1
"Pete Postlethwaite","Philip King",1
"Fengyi Zhang","Gong Li",1
"Fengyi Zhang","Leslie Cheung",1
"Fengyi Zhang","You Ge",1
"Gong Li","Leslie Cheung",1
"Gong Li","You Ge",1
"Leslie Cheung","You Ge",1
"Cuifen Cao","Gong Li",1
"Cuifen Cao","Jingwu Ma",1
"Cuifen Cao","Saifei He",1
"Gong Li","Jingwu Ma",1
"Gong Li","Saifei He",1
"Jingwu Ma","Saifei He",1
"Ethan Hawke","Josh Charles",1
"Ethan Hawke","Robert Sean Leonard",1
"Ethan Hawke","Robin Williams",1
"Josh Charles","Robert Sean Leonard",1
"Josh Charles","Robin Williams",1
"Robert Sean Leonard","Robin Williams",1
"Corey Feldman","Jerry O'Connell",1
"Corey Feldman","River Phoenix",1
"Corey Feldman","Wil Wheaton",1
"Jerry O'Connell","River Phoenix",1
"Jerry O'Connell","Wil Wheaton",1
"River Phoenix","Wil Wheaton",1
"Charlie Sheen","Keith David",1
"Charlie Sheen","Tom Berenger",1
"Charlie Sheen","Willem Dafoe",1
"Keith David","Tom Berenger",1
"Keith David","Willem Dafoe",1
"Tom Berenger","Willem Dafoe",1
"Aurore Clément","Dean Stockwell",1
"Aurore Clément","Harry Dean Stanton",1
"Aurore Clément","Nastassja Kinski",1
"Dean Stockwell","Harry Dean Stanton",1
"Dean Stockwell","Nastassja Kinski",1
"Harry Dean Stanton","Nastassja Kinski",1
"Gorô Naya","Hisako Kyôda",1
"Gorô Naya","Mahito Tsujimura",1
"Gorô Naya","Sumi Shimamoto",1
"Hisako Kyôda","Mahito Tsujimura",1
"Hisako Kyôda","Sumi Shimamoto",1
"Mahito Tsujimura","Sumi Shimamoto",1
"Keith David","Kurt Russell",1
"Keith David","Richard Masur",1
"Keith David","Wilford Brimley",1
"Kurt Russell","Richard Masur",1
"Kurt Russell","Wilford Brimley",1
"Richard Masur","Wilford Brimley",1
"Bob Geldof","Christine Hargreaves",1
"Bob Geldof","Eleanor David",1
"Bob Geldof","James Laurenson",1
"Christine Hargreaves","Eleanor David",1
"Christine Hargreaves","James Laurenson",1
"Eleanor David","James Laurenson",1
"Claudia Cardinale","José Lewgoy",1
"Claudia Cardinale","Klaus Kinski",1
"Claudia Cardinale","Miguel Ángel Fuentes",1
"José Lewgoy","Klaus Kinski",1
"José Lewgoy","Miguel Ángel Fuentes",1
"Klaus Kinski","Miguel Ángel Fuentes",1
"Bertil Guve","Börje Ahlstedt",1
"Bertil Guve","Kristina Adolphson",1
"Bertil Guve","Pernilla Allwin",1
"Börje Ahlstedt","Kristina Adolphson",1
"Börje Ahlstedt","Pernilla Allwin",1
"Kristina Adolphson","Pernilla Allwin",1
"Edward James Olmos","Harrison Ford",1
"Edward James Olmos","Rutger Hauer",1
"Edward James Olmos","Sean Young",1
"Harrison Ford","Rutger Hauer",1
"Harrison Ford","Sean Young",1
"Rutger Hauer","Sean Young",1
"Anne Bancroft","Anthony Hopkins",1
"Anne Bancroft","John Gielgud",1
"Anne Bancroft","John Hurt",1
"Anthony Hopkins","John Gielgud",1
"Anthony Hopkins","John Hurt",1
"John Gielgud","John Hurt",1
"Graham Chapman","Michael Palin",1
"Graham Chapman","Terry Gilliam",1
"John Cleese","Michael Palin",1
"John Cleese","Terry Gilliam",1
"Michael Palin","Terry Gilliam",1
"Christopher Walken","John Cazale",1
"Christopher Walken","John Savage",1
"Christopher Walken","Robert De Niro",1
"John Cazale","John Savage",1
"John Cazale","Robert De Niro",1
"John Savage","Robert De Niro",1
"Burt Young","Carl Weathers",1
"Burt Young","Sylvester Stallone",1
"Burt Young","Talia Shire",1
"Carl Weathers","Sylvester Stallone",1
"Carl Weathers","Talia Shire",1
"Sylvester Stallone","Talia Shire",1
"Faye Dunaway","Peter Finch",1
"Faye Dunaway","Robert Duvall",1
"Faye Dunaway","William Holden",1
"Peter Finch","Robert Duvall",1
"Peter Finch","William Holden",1
"Robert Duvall","William Holden",1
"Hardy Krüger","Marisa Berenson",1
"Hardy Krüger","Patrick Magee",1
"Hardy Krüger","Ryan O'Neal",1
"Marisa Berenson","Patrick Magee",1
"Marisa Berenson","Ryan O'Neal",1
"Patrick Magee","Ryan O'Neal",1
"Filipp Yankovskiy","Ignat Daniltsev",1
"Filipp Yankovskiy","Margarita Terekhova",1
"Filipp Yankovskiy","Oleg Yankovskiy",1
"Ignat Daniltsev","Margarita Terekhova",1
"Ignat Daniltsev","Oleg Yankovskiy",1
"Margarita Terekhova","Oleg Yankovskiy",1
"Faye Dunaway","Jack Nicholson",1
"Faye Dunaway","John Huston",1
"Faye Dunaway","Perry Lopez",1
"Jack Nicholson","John Huston",1
"Jack Nicholson","Perry Lopez",1
"John Huston","Perry Lopez",1
"John Hillerman","Madeline Kahn",1
"John Hillerman","Ryan O'Neal",1
"John Hillerman","Tatum O'Neal",1
"Madeline Kahn","Ryan O'Neal",1
"Madeline Kahn","Tatum O'Neal",1
"Ryan O'Neal","Tatum O'Neal",1
"Harriet Andersson","Ingrid Thulin",1
"Harriet Andersson","Kari Sylwan",1
"Harriet Andersson","Liv Ullmann",1
"Ingrid Thulin","Kari Sylwan",1
"Ingrid Thulin","Liv Ullmann",1
"Kari Sylwan","Liv Ullmann",1
"Donatas Banionis","Jüri Järvet",1
"Donatas Banionis","Natalya Bondarchuk",1
"Donatas Banionis","Vladislav Dvorzhetskiy",1
"Jüri Järvet","Natalya Bondarchuk",1
"Jüri Järvet","Vladislav Dvorzhetskiy",1
"Natalya Bondarchuk","Vladislav Dvorzhetskiy",1
"Alain Delon","Cathy Rosier",1
"Alain Delon","François Périer",1
"Alain Delon","Nathalie Delon",1
"Cathy Rosier","François Périer",1
"Cathy Rosier","Nathalie Delon",1
"François Périer","Nathalie Delon",1
"George Kennedy","J.D. Cannon",1
"George Kennedy","Paul Newman",1
"George Kennedy","Strother Martin",1
"J.D. Cannon","Paul Newman",1
"J.D. Cannon","Strother Martin",1
"Paul Newman","Strother Martin",2
"Bibi Andersson","Liv Ullmann",1
"Bibi Andersson","Margaretha Krook",1
"Gunnar Björnstrand","Liv Ullmann",1
"Gunnar Björnstrand","Margaretha Krook",1
"Liv Ullmann","Margaretha Krook",1
"Anatoliy Solonitsyn","Ivan Lapikov",1
"Anatoliy Solonitsyn","Nikolay Sergeev",1
"Ivan Lapikov","Nikolay Grinko",1
"Ivan Lapikov","Nikolay Sergeev",1
"Nikolay Grinko","Nikolay Sergeev",1
"Brahim Hadjadj","Jean Martin",1
"Brahim Hadjadj","Samia Kerbash",1
"Brahim Hadjadj","Yacef Saadi",1
"Jean Martin","Samia Kerbash",1
"Jean Martin","Yacef Saadi",1
"Samia Kerbash","Yacef Saadi",1
"Enrique Rambal","Jacqueline Andere",1
"Enrique Rambal","José Baviera",1
"Enrique Rambal","Silvia Pinal",1
"Jacqueline Andere","José Baviera",1
"Jacqueline Andere","Silvia Pinal",1
"José Baviera","Silvia Pinal",1
"Bette Davis","Joan Crawford",1
"Bette Davis","Victor Buono",1
"Bette Davis","Wesley Addy",1
"Joan Crawford","Victor Buono",1
"Joan Crawford","Wesley Addy",1
"Victor Buono","Wesley Addy",1
"Keiju Kobayashi","Tatsuya Nakadai",1
"Keiju Kobayashi","Toshirô Mifune",1
"Keiju Kobayashi","Yûnosuke Itô",1
"Tatsuya Nakadai","Yûnosuke Itô",1
"Toshirô Mifune","Yûnosuke Itô",1
"James Stewart","John Wayne",1
"James Stewart","Lee Marvin",1
"James Stewart","Vera Miles",1
"John Wayne","Lee Marvin",1
"John Wayne","Vera Miles",2
"Lee Marvin","Vera Miles",1
"Eduard Abalov","Evgeniy Zharikov",1
"Eduard Abalov","Nikolay Burlyaev",1
"Eduard Abalov","Valentin Zubkov",1
"Evgeniy Zharikov","Nikolay Burlyaev",1
"Evgeniy Zharikov","Valentin Zubkov",1
"Nikolay Burlyaev","Valentin Zubkov",1
"Birgitta Pettersson","Birgitta Valberg",1
"Birgitta Pettersson","Gunnel Lindblom",1
"Birgitta Pettersson","Max von Sydow",1
"Birgitta Valberg","Gunnel Lindblom",1
"Birgitta Valberg","Max von Sydow",1
"Gunnel Lindblom","Max von Sydow",1
"Dick York","Fredric March",1
"Dick York","Gene Kelly",1
"Dick York","Spencer Tracy",1
"Fredric March","Gene Kelly",1
"Fredric March","Spencer Tracy",1
"Gene Kelly","Spencer Tracy",1
"Albert Rémy","Claire Maurier",1
"Albert Rémy","Guy Decomble",1
"Albert Rémy","Jean-Pierre Léaud",1
"Claire Maurier","Guy Decomble",1
"Claire Maurier","Jean-Pierre Léaud",1
"Guy Decomble","Jean-Pierre Léaud",1
"Charlton Heston","Haya Harareet",1
"Charlton Heston","Jack Hawkins",1
"Charlton Heston","Stephen Boyd",1
"Haya Harareet","Jack Hawkins",1
"Haya Harareet","Stephen Boyd",1
"Jack Hawkins","Stephen Boyd",1
"Kamatari Fujiwara","Minoru Chiaki",1
"Kamatari Fujiwara","Misa Uehara",1
"Kamatari Fujiwara","Toshirô Mifune",1
"Minoru Chiaki","Misa Uehara",1
"Minoru Chiaki","Toshirô Mifune",2
"Misa Uehara","Toshirô Mifune",1
"Dorian Gray","Franca Marzi",1
"Dorian Gray","François Périer",1
"Dorian Gray","Giulietta Masina",1
"Franca Marzi","François Périer",1
"Franca Marzi","Giulietta Masina",1
"François Périer","Giulietta Masina",1
"Isuzu Yamada","Minoru Chiaki",1
"Isuzu Yamada","Takashi Shimura",1
"Isuzu Yamada","Toshirô Mifune",1
"Minoru Chiaki","Takashi Shimura",1
"Alec Guinness","Sessue Hayakawa",1
"Alec Guinness","William Holden",1
"Jack Hawkins","Sessue Hayakawa",1
"Jack Hawkins","William Holden",1
"Sessue Hayakawa","William Holden",1
"Karl Malden","Lee J. Cobb",1
"Karl Malden","Marlon Brando",2
"Karl Malden","Rod Steiger",1
"Lee J. Cobb","Marlon Brando",1
"Lee J. Cobb","Rod Steiger",1
"Marlon Brando","Rod Steiger",1
"Charles Vanel","Folco Lulli",1
"Charles Vanel","Peter van Eyck",1
"Charles Vanel","Yves Montand",1
"Folco Lulli","Peter van Eyck",1
"Folco Lulli","Yves Montand",1
"Peter van Eyck","Yves Montand",1
"Jan Sterling","Kirk Douglas",1
"Jan Sterling","Porter Hall",1
"Jan Sterling","Robert Arthur",1
"Kirk Douglas","Porter Hall",1
"Kirk Douglas","Robert Arthur",1
"Porter Hall","Robert Arthur",1
"Edmond O'Brien","James Cagney",1
"Edmond O'Brien","Margaret Wycherly",1
"Edmond O'Brien","Virginia Mayo",1
"James Cagney","Margaret Wycherly",1
"James Cagney","Virginia Mayo",1
"Margaret Wycherly","Virginia Mayo",1
"Alida Valli","Joseph Cotten",1
"Alida Valli","Orson Welles",1
"Alida Valli","Trevor Howard",1
"Joseph Cotten","Trevor Howard",1
"Orson Welles","Trevor Howard",1
"Anton Walbrook","Emeric Pressburger",1
"Anton Walbrook","Marius Goring",1
"Anton Walbrook","Moira Shearer",1
"Emeric Pressburger","Marius Goring",1
"Emeric Pressburger","Moira Shearer",1
"Marius Goring","Moira Shearer",1
"Frank Morgan","James Stewart",1
"Frank Morgan","Joseph Schildkraut",1
"Frank Morgan","Margaret Sullavan",1
"James Stewart","Joseph Schildkraut",1
"James Stewart","Margaret Sullavan",1
"Joseph Schildkraut","Margaret Sullavan",1
"George Sanders","Joan Fontaine",1
"George Sanders","Judith Anderson",1
"George Sanders","Laurence Olivier",1
"Joan Fontaine","Judith Anderson",1
"Joan Fontaine","Laurence Olivier",1
"Judith Anderson","Laurence Olivier",1
"Claude Rains","Edward Arnold",1
"Claude Rains","James Stewart",1
"Claude Rains","Jean Arthur",1
"Edward Arnold","James Stewart",1
"Edward Arnold","Jean Arthur",1
"James Stewart","Jean Arthur",1
"Clark Gable","George Cukor",1
"Clark Gable","Sam Wood",1
"Clark Gable","Vivien Leigh",1
"George Cukor","Sam Wood",1
"George Cukor","Vivien Leigh",1
"Sam Wood","Vivien Leigh",1
"Dita Parlo","Erich von Stroheim",1
"Dita Parlo","Jean Gabin",1
"Dita Parlo","Pierre Fresnay",1
"Erich von Stroheim","Jean Gabin",1
"Erich von Stroheim","Pierre Fresnay",1
"Jean Gabin","Pierre Fresnay",1
"Clark Gable","Claudette Colbert",1
"Clark Gable","Roscoe Karns",1
"Clark Gable","Walter Connolly",1
"Claudette Colbert","Roscoe Karns",1
"Claudette Colbert","Walter Connolly",1
"Roscoe Karns","Walter Connolly",1
"André Berley","Eugene Silvain",1
"André Berley","Maria Falconetti",1
"André Berley","Maurice Schutz",1
"Eugene Silvain","Maria Falconetti",1
"Eugene Silvain","Maurice Schutz",1
"Maria Falconetti","Maurice Schutz",1
"Al Ernest Garcia","Charles Chaplin",1
"Al Ernest Garcia","Harry Crocker",1
"Al Ernest Garcia","Merna Kennedy",1
"Charles Chaplin","Harry Crocker",1
"Charles Chaplin","Merna Kennedy",1
"Harry Crocker","Merna Kennedy",1
"Bodil Rosing","George O'Brien",1
"Bodil Rosing","Janet Gaynor",1
"Bodil Rosing","Margaret Livingston",1
"George O'Brien","Janet Gaynor",1
"George O'Brien","Margaret Livingston",1
"Janet Gaynor","Margaret Livingston",1
"Buster Keaton","Glen Cavender",1
"Buster Keaton","Marion Mack",1
"Glen Cavender","Marion Mack",1
"Conrad Veidt","Friedrich Feher",1
"Conrad Veidt","Lil Dagover",1
"Conrad Veidt","Werner Krauss",1
"Friedrich Feher","Lil Dagover",1
"Friedrich Feher","Werner Krauss",1
"Lil Dagover","Werner Krauss",1
"Ayushmann Khurrana","Gajraj Rao",1
"Ayushmann Khurrana","Neena Gupta",1
"Ayushmann Khurrana","Sanya Malhotra",1
"Gajraj Rao","Neena Gupta",1
"Gajraj Rao","Sanya Malhotra",1
"Neena Gupta","Sanya Malhotra",1
"Christopher Heyerdahl","Julianne Nicholson",1
"Christopher Heyerdahl","Richard Dormer",1
"Christopher Heyerdahl","Willem Dafoe",1
"Julianne Nicholson","Richard Dormer",1
"Julianne Nicholson","Willem Dafoe",1
"Richard Dormer","Willem Dafoe",1
"Akshay Kumar","Kumud Mishra",1
"Akshay Kumar","Nimrat Kaur",1
"Akshay Kumar","Prakash Belawadi",1
"Kumud Mishra","Nimrat Kaur",1
"Kumud Mishra","Prakash Belawadi",1
"Nimrat Kaur","Prakash Belawadi",1
"Harshaali Malhotra","Kareena Kapoor",1
"Harshaali Malhotra","Nawazuddin Siddiqui",1
"Harshaali Malhotra","Salman Khan",1
"Kareena Kapoor","Nawazuddin Siddiqui",1
"Kareena Kapoor","Salman Khan",1
"Nawazuddin Siddiqui","Salman Khan",1
"Akshay Kumar","Danny Denzongpa",1
"Akshay Kumar","Rana Daggubati",1
"Akshay Kumar","Taapsee Pannu",1
"Danny Denzongpa","Rana Daggubati",1
"Danny Denzongpa","Taapsee Pannu",1
"Rana Daggubati","Taapsee Pannu",1
"Emma Stone","J.K. Simmons",1
"Emma Stone","Rosemarie DeWitt",1
"Emma Stone","Ryan Gosling",1
"J.K. Simmons","Rosemarie DeWitt",1
"J.K. Simmons","Ryan Gosling",1
"Rosemarie DeWitt","Ryan Gosling",1
"Dev Patel","Nicole Kidman",1
"Dev Patel","Rooney Mara",1
"Dev Patel","Sunny Pawar",1
"Nicole Kidman","Rooney Mara",1
"Nicole Kidman","Sunny Pawar",1
"Rooney Mara","Sunny Pawar",1
"Jessica Chastain","Kate Mara",1
"Jessica Chastain","Kristen Wiig",1
"Jessica Chastain","Matt Damon",1
"Kate Mara","Kristen Wiig",1
"Kate Mara","Matt Damon",1
"Kristen Wiig","Matt Damon",1
"Ginnifer Goodwin","Jared Bush",1
"Ginnifer Goodwin","Jason Bateman",1
"Ginnifer Goodwin","Rich Moore",1
"Jared Bush","Jason Bateman",1
"Jared Bush","Rich Moore",1
"Jason Bateman","Rich Moore",1
"Prabhas","Ramya Krishnan",1
"Prabhas","Sathyaraj",1
"Ramya Krishnan","Rana Daggubati",1
"Ramya Krishnan","Sathyaraj",1
"Rana Daggubati","Sathyaraj",1
"Chloë Grace Moretz","James Caan",1
"Chloë Grace Moretz","James Marsden",1
"Chloë Grace Moretz","Mary Steenburgen",1
"James Caan","James Marsden",1
"James Caan","Mary Steenburgen",1
"James Marsden","Mary Steenburgen",1
"Izabela Vidovic","Jacob Tremblay",1
"Izabela Vidovic","Julia Roberts",1
"Izabela Vidovic","Owen Wilson",1
"Jacob Tremblay","Julia Roberts",1
"Jacob Tremblay","Owen Wilson",1
"Julia Roberts","Owen Wilson",1
"Nakul Roshan Sahdev","Ranveer Singh",1
"Nakul Roshan Sahdev","Vijay Raaz",1
"Nakul Roshan Sahdev","Vijay Varma",1
"Ranveer Singh","Vijay Raaz",1
"Ranveer Singh","Vijay Varma",1
"Vijay Raaz","Vijay Varma",1
"Akshay Kumar","Anupam Kher",1
"Akshay Kumar","Jimmy Sheirgill",1
"Akshay Kumar","Manoj Bajpayee",1
"Anupam Kher","Manoj Bajpayee",1
"Jimmy Sheirgill","Manoj Bajpayee",1
"Brie Larson","Frantz Turner",1
"Brie Larson","John Gallagher Jr.",1
"Brie Larson","Kaitlyn Dever",1
"Frantz Turner","John Gallagher Jr.",1
"Frantz Turner","Kaitlyn Dever",1
"John Gallagher Jr.","Kaitlyn Dever",1
"Arifin Putra","Iko Uwais",1
"Arifin Putra","Oka Antara",1
"Arifin Putra","Yayan Ruhian",1
"Iko Uwais","Oka Antara",1
"Iko Uwais","Yayan Ruhian",1
"Oka Antara","Yayan Ruhian",1
"Allen Leech","Benedict Cumberbatch",1
"Allen Leech","Keira Knightley",1
"Allen Leech","Matthew Goode",1
"Benedict Cumberbatch","Keira Knightley",1
"Benedict Cumberbatch","Matthew Goode",1
"Keira Knightley","Matthew Goode",1
"Bradley Cooper","Chris Pratt",1
"Bradley Cooper","Vin Diesel",1
"Bradley Cooper","Zoe Saldana",1
"Chris Pratt","Vin Diesel",2
"Chris Pratt","Zoe Saldana",2
"Vin Diesel","Zoe Saldana",2
"Ana de Armas","Dave Bautista",1
"Ana de Armas","Harrison Ford",1
"Ana de Armas","Ryan Gosling",1
"Dave Bautista","Harrison Ford",1
"Dave Bautista","Ryan Gosling",1
"Harrison Ford","Ryan Gosling",1
"Amy Adams","Joaquin Phoenix",1
"Amy Adams","Rooney Mara",1
"Amy Adams","Scarlett Johansson",1
"Joaquin Phoenix","Rooney Mara",1
"Joaquin Phoenix","Scarlett Johansson",1
"Rooney Mara","Scarlett Johansson",1
"Ben Hardy","Gwilym Lee",1
"Ben Hardy","Lucy Boynton",1
"Ben Hardy","Rami Malek",1
"Gwilym Lee","Lucy Boynton",1
"Gwilym Lee","Rami Malek",1
